Female 15-64 labour to population (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,31.1000003815,30.8999996185,30.7000007629,30.5,30.3999996185,30.2000007629,30,29.8999996185,29.7999992371,29.6000003815,29.3999996185,29.1000003815,28.8999996185,28.7000007629,28.5,28.2999992371,28.2000007629,28.1000003815,28,28,28,28.2000007629,28.3999996185,28.6000003815,28.8999996185,29.2000007629,29.6000003815,29.5
Albania,73.6999969482,73.0999984741,72.8000030518,72.1999969482,71.6999969482,71.8000030518,71.4000015259,72.1999969482,73,71.8000030518,73.5999984741,54.0999984741,53.7999992371,54.2999992371,54.7999992371,55.0999984741,55.5,55,55.4000015259,55.5999984741,55.7000007629,55.7000007629,55.7000007629,55.7000007629,55.7000007629,55.5999984741,55.5999984741,56.0999984741
Algeria,19.7999992371,19.8999996185,20.1000003815,20.1000003815,20.2999992371,20.3999996185,21,21.7000007629,22.3999996185,23.1000003815,23.7999992371,24.6000003815,25.3999996185,26.2000007629,27.1000003815,27.8999996185,28.7000007629,29.5,30.3999996185,31.2999992371,32.0999984741,33,33.7999992371,34.7000007629,35.5,36.2000007629,36.9000015259,38.0999984741
Angola,74.3000030518,74.3000030518,74.5,74.5999984741,74.8000030518,74.9000015259,75,75.1999969482,76,75.9000015259,76,75.6999969482,76.6999969482,75,76.3000030518,74.4000015259,74.5,74.4000015259,74.6999969482,75.0999984741,74.6999969482,74.5999984741,75,74.9000015259,75.1999969482,75.5,76.1999969482,76.4000015259
Argentina,32.7999992371,32.0999984741,31.6000003815,31.2999992371,31.6000003815,32.0999984741,32.2000007629,32.4000015259,32.9000015259,33.4000015259,33.7000007629,45.0999984741,45.5999984741,46,46.5,47.0999984741,48,48.9000015259,49.9000015259,50.7999992371,51.7000007629,52.5999984741,53.5,54.4000015259,55.2999992371,56.2000007629,57.0999984741,57.0999984741
Armenia,76.6999969482,75.6999969482,75.0999984741,74.1999969482,73.3000030518,72.5999984741,73,73.1999969482,72.4000015259,72.8000030518,73.0999984741,62.7000007629,61.5,60.5,60.5,61,61.2999992371,61.4000015259,61.9000015259,62.2000007629,62.5999984741,63.0999984741,63.7000007629,64.1999969482,64.5,64.5999984741,64.4000015259,65.1999969482
Australia,52,52.0999984741,52.0999984741,52.2000007629,53.0999984741,54.4000015259,56.9000015259,57.7000007629,58.9000015259,60.5999984741,61.9000015259,61.7000007629,61.7999992371,61.7000007629,62.7999992371,64.1999969482,64.3000030518,64.0999984741,64.3000030518,64.4000015259,65.5,66,66.3000030518,67.0999984741,66.9000015259,68.3000030518,69,69
Austria,49.7999992371,50,49.9000015259,49.7999992371,51.4000015259,50.7999992371,51.4000015259,52.7000007629,53.4000015259,54.0999984741,55.2999992371,56.0999984741,57.7999992371,58.5999984741,61.2000007629,61.5999984741,61,61.2999992371,61.2999992371,61.5999984741,61.7000007629,62.2000007629,63.7999992371,64.5,64.5999984741,65.5999984741,66.6999969482,67.3000030518
Azerbaijan,71.6999969482,70.9000015259,70.8000030518,70.4000015259,69.9000015259,69.5999984741,70.3000030518,70.6999969482,70,70.5999984741,71.3000030518,62.4000015259,62.2999992371,62.2000007629,61.5,61,61.4000015259,61.9000015259,62.7000007629,63.2999992371,64.1999969482,64.8000030518,65.1999969482,65.5,65.8000030518,65.6999969482,65.0999984741,66.5
Bahamas,61,61.7000007629,62.5,63.2999992371,64.1999969482,65,65.6999969482,66.3000030518,67,67.5999984741,68.3000030518,68.3000030518,67.9000015259,68.3000030518,68.0999984741,68.4000015259,69.3000030518,69.6999969482,70.3000030518,70.5999984741,71.4000015259,70.9000015259,71,71.6999969482,71.9000015259,72.5,72.9000015259,73
